geo	time	van	vab	msa	msam	msanc	msah	ip	champ	tis	t2is	is	is2	psal	psalh	psalnc	psalm	psalb	psalhb	psalncb	tp	tpb	tpm	tpbm	tph	tpbh	tooltip
BE	1995-01-01	127421.35531049583	159351.09999999998	97872.00925487526	94083.95889145772	78801	94257.20962199313	2078.9032927334065	md	0.17235576010424986	0.03196087130870136	5093	5093	0.7680973806657779	0.7397285124797999	0.6184285185790132	0.7383688445488378	0.6141909861612206	0.5915064886404495	0.4945118044368694	0.19193286710870572	0.23190261933422207	0.22166140322564587	0.2616311554511622	0.22030173529468378	0.26027148752020013	"<b>Belgique</b>
1995 
Branches marchandes
Part des salaires dans la VAN : 74%"
BE	1995-01-01	116834.94064137584	146739.9	89659.43309070794	86047.1445566963	71473.3	86557.91941580757	1981.2847152319791	mdhfi	0.1395006144018395	0.025834827473645548	3791.0000000000005	3791	0.7674025646652831	0.7408564504816807	0.6117459349715157	0.7364846858682241	0.6110092285105002	0.5898730980177005	0.4870747492672409	0.20014995019723172	0.23259743533471686	0.2310678289942908	0.2635153141317759	0.22669606438083412	0.25914354951831925	"<b>Belgique</b>
1995 
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 74.1%"
BE	1995-01-01	118229.41613971935	141909.8	97390.40925487527	93623.4929884151	78425.8	93789.71924398626	559.9158910818412	mdhi	0.244397443128831	0.03588899427664615	5093	5092.999999999999	0.8237409304278617	0.7932858192680988	0.6633357633037718	0.7918798556678498	0.6862838877574013	0.6609107985775913	0.5526454127903782	0.13318180364044097	0.17625906957213833	0.16504287840045292	0.20812014433215026	0.16363691480020381	0.20671418073190115	"<b>Belgique</b>
1995 
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 79.3%"
BE	1995-01-01	107643.00147059937	129298.6	89177.83309070795	85586.67865365368	71098.1	86090.4290378007	462.29731358041363	mdhifi	0.2053054660540438	0.029319729679981067	3791	3791	0.8284591833410105	0.7997772996074869	0.6604990480446524	0.7950974748416881	0.6897045528003238	0.6658264593568739	0.549875250002707	0.13632254934752433	0.17154081665898943	0.16968425784684674	0.20490252515831184	0.16500443308104804	0.20022270039251314	"<b>Belgique</b>
1995 
Branches marchandes hors services immobilier et financiers (-KLOPQ)
Part des salaires dans la VAN : 80%"
BE	1995-01-01	122276.58721036965	149275.5	97872.00925487526	94083.95889145772	78801	94257.20962199313	1036.1158910818413	mdhim	0.20869035347744558	0.03411812387163332	5093	5093	0.8004149566792558	0.7708524728436292	0.6444488008520186	0.7694355970991554	0.6556468359166457	0.6314312102253425	0.5278897072861923	0.15793357008132683	0.19958504332074425	0.18891292966142717	0.2305644029008446	0.18749605391695337	0.2291475271563708	"<b>Belgique</b>
1995 
Branches marchandes hors imm. des ménages (-LmOPQ)
Part des salaires dans la VAN : 77.1%"
BE	1995-01-01	107643.00147059937	129298.6	89177.83309070795	85586.67865365368	71098.1	86090.4290378007	462.29731358041363	mdhimfi	0.2053054660540438	0.029319729679981067	3791	3791	0.8284591833410105	0.7997772996074869	0.6604990480446524	0.7950974748416881	0.6897045528003238	0.6658264593568739	0.549875250002707	0.13632254934752433	0.17154081665898943	0.16968425784684674	0.20490252515831184	0.16500443308104804	0.20022270039251314	"<b>Belgique</b>
1995 
NA
Part des salaires dans la VAN : 80%"
BE	1995-01-01	162689.22834390862	198579.79999999996	132632.21926935902	128428	111466	128428	1557.4075778831334	tb	0.16944467053817525	0.02564712020054407	5093	5093	0.8152489296278909	0.7894069036243516	0.6851467742189552	0.7894069036243516	0.6679038818115389	0.6467324471069062	0.5613159042359798	0.1534459861213319	0.18475107037210917	0.17928801212487114	0.2105930963756484	0.17928801212487114	0.2105930963756484	"<b>Belgique</b>
1995 
Toutes branches (marchandes et non marchandes)
Part des salaires dans la VAN : 78.9%"
DE	1995-01-01	1218462.6909900038	1477296.7	913574.2752192821	994949.8422780612	818754.2000000001	996795.3983565974	-16327.907634458217	md	0.12081141196161235	0.024933380004165718	36834	36834	0.7497761580840862	0.8180762576708023	0.6719567255151329	0.8165615981804598	0.6184094740205418	0.674742858598816	0.5542246185211137	0.21999394626759297	0.2502238419159138	0.15320850617121937	0.18343840181954021	0.15169384668087693	0.18192374232919775	"<b>Allemagne</b>
1995 
Branches marchandes
Part des salaires dans la VAN : 81.8%"
DE	1995-01-01	1144824.8121862998	1396153.6	852090.2402542471	928607.9636125881	762930.6	934962.8431603897	-16627.68422767632	mdhfi	0.07830301644494685	0.016417964327134205	22922	22922	0.7442974952883749	0.8166863900991702	0.666416897920838	0.8111354276460893	0.6103126763804835	0.6696704740512718	0.5464517657656005	0.23568022728017668	0.25570250471162514	0.16884229492246225	0.18886457235391074	0.16329133246938135	0.18331360990082982	"<b>Allemagne</b>
1995 
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 81.7%"
DE	1995-01-01	1095580.5347012915	1285417.8000000003	903244.9916576382	983194.0556307391	810087.1	985227.4234342902	-17121.330030943376	mdhi	0.19150906492431308	0.02865527457298319	36834	36834	0.8244441764419507	0.8992743045611988	0.7394135568690704	0.8974183316416858	0.7026859217739462	0.7664647427741315	0.6302130715787504	0.1419352919464296	0.1755558235580493	0.06896113674669446	0.10258166835831417	0.06710516382718149	0.1007256954388012	"<b>Allemagne</b>
1995 
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 89.9%"
