geo	time	van	vab	msa	msam	msanc	msah	ip	champ	tis	t2is	is	is2	psal	psalh	psalnc	psalm	psalb	psalhb	psalncb	tp	tpb	tpm	tpbm	tph	tpbh	tooltip
BE	1995-01-01	127421.35531049583	159351.09999999998	97872.00925487526	94083.95889145772	78801	94257.20962199313	2078.9032927334065	md	0.17235576010424986	0.03196087130870136	5093	5093	0.7680973806657779	0.7397285124797999	0.6184285185790132	0.7383688445488378	0.6141909861612206	0.5915064886404495	0.4945118044368694	0.19193286710870572	0.23190261933422207	0.22166140322564587	0.2616311554511622	0.22030173529468378	0.26027148752020013	"<b>Belgique</b>
1995 
Branches marchandes
Part des salaires dans la VAN : 74%"
BE	1995-01-01	116834.94064137584	146739.9	89659.43309070794	86047.1445566963	71473.3	86557.91941580757	1981.2847152319791	mdhfi	0.1395006144018395	0.025834827473645548	3791.0000000000005	3791	0.7674025646652831	0.7408564504816807	0.6117459349715157	0.7364846858682241	0.6110092285105002	0.5898730980177005	0.4870747492672409	0.20014995019723172	0.23259743533471686	0.2310678289942908	0.2635153141317759	0.22669606438083412	0.25914354951831925	"<b>Belgique</b>
1995 
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 74.1%"
BE	1995-01-01	118229.41613971935	141909.8	97390.40925487527	93623.4929884151	78425.8	93789.71924398626	559.9158910818412	mdhi	0.244397443128831	0.03588899427664615	5093	5092.999999999999	0.8237409304278617	0.7932858192680988	0.6633357633037718	0.7918798556678498	0.6862838877574013	0.6609107985775913	0.5526454127903782	0.13318180364044097	0.17625906957213833	0.16504287840045292	0.20812014433215026	0.16363691480020381	0.20671418073190115	"<b>Belgique</b>
1995 
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 79.3%"
BE	1995-01-01	107643.00147059937	129298.6	89177.83309070795	85586.67865365368	71098.1	86090.4290378007	462.29731358041363	mdhifi	0.2053054660540438	0.029319729679981067	3791	3791	0.8284591833410105	0.7997772996074869	0.6604990480446524	0.7950974748416881	0.6897045528003238	0.6658264593568739	0.549875250002707	0.13632254934752433	0.17154081665898943	0.16968425784684674	0.20490252515831184	0.16500443308104804	0.20022270039251314	"<b>Belgique</b>
1995 
Branches marchandes hors services immobilier et financiers (-KLOPQ)
Part des salaires dans la VAN : 80%"
BE	1995-01-01	122276.58721036965	149275.5	97872.00925487526	94083.95889145772	78801	94257.20962199313	1036.1158910818413	mdhim	0.20869035347744558	0.03411812387163332	5093	5093	0.8004149566792558	0.7708524728436292	0.6444488008520186	0.7694355970991554	0.6556468359166457	0.6314312102253425	0.5278897072861923	0.15793357008132683	0.19958504332074425	0.18891292966142717	0.2305644029008446	0.18749605391695337	0.2291475271563708	"<b>Belgique</b>
1995 
Branches marchandes hors imm. des ménages (-LmOPQ)
Part des salaires dans la VAN : 77.1%"
BE	1995-01-01	107643.00147059937	129298.6	89177.83309070795	85586.67865365368	71098.1	86090.4290378007	462.29731358041363	mdhimfi	0.2053054660540438	0.029319729679981067	3791	3791	0.8284591833410105	0.7997772996074869	0.6604990480446524	0.7950974748416881	0.6897045528003238	0.6658264593568739	0.549875250002707	0.13632254934752433	0.17154081665898943	0.16968425784684674	0.20490252515831184	0.16500443308104804	0.20022270039251314	"<b>Belgique</b>
1995 
NA
Part des salaires dans la VAN : 80%"
BE	1995-01-01	162689.22834390862	198579.79999999996	132632.21926935902	128428	111466	128428	1557.4075778831334	tb	0.16944467053817525	0.02564712020054407	5093	5093	0.8152489296278909	0.7894069036243516	0.6851467742189552	0.7894069036243516	0.6679038818115389	0.6467324471069062	0.5613159042359798	0.1534459861213319	0.18475107037210917	0.17928801212487114	0.2105930963756484	0.17928801212487114	0.2105930963756484	"<b>Belgique</b>
1995 
Toutes branches (marchandes et non marchandes)
Part des salaires dans la VAN : 78.9%"
DE	1995-01-01	1218462.8734430824	1477296.9000000001	913574.2752192821	994949.8422780614	818754.2	996795.3983565973	-16327.911967735507	md	0.12081133966499588	0.02493337662862489	36834	36834	0.7497760458123286	0.8180761351717625	0.6719566248960855	0.816561475908226	0.618409390298783	0.6747427672505082	0.5542245434888544	0.21999406306598626	0.2502239541876714	0.15320863297008883	0.18343852409177397	0.15169397370655233	0.18192386482823747	"<b>Allemagne</b>
1995 
Branches marchandes
Part des salaires dans la VAN : 81.8%"
DE	1995-01-01	1144824.9946393785	1396153.8	852090.2402542471	928607.9636125881	762930.6	934962.8431603897	-16627.68856095361	mdhfi	0.07830296764094867	0.01641796197524943	22922	22922	0.7442973766681752	0.8166862599422057	0.6664167917126269	0.8111352983737928	0.6103125889527694	0.669670378120512	0.5464516874860061	0.23568034909136729	0.25570262333182486	0.16884242738574956	0.1888647016262071	0.16329146581733675	0.18331374005779433	"<b>Allemagne</b>
1995 
Branches marchandes hors services financiers (-KOPQ)
Part des salaires dans la VAN : 81.7%"
DE	1995-01-01	1095580.7171543704	1285418	903244.9916576383	983194.0556307393	810087.1	985227.4234342902	-17121.334364220667	mdhi	0.19150888325541915	0.0286552701144686	36834	36834	0.8244440391427303	0.8992741548001059	0.7394134337304664	0.8974181821896784	0.7026858124420525	0.7664646235188011	0.6302129735230096	0.14193543484466187	0.17555596085726963	0.06896129179771379	0.10258181781032158	0.0671053191872864	0.10072584519989418	"<b>Allemagne</b>
1995 
Branches marchandes hors services immobiliers (-LOPQ)
Part des salaires dans la VAN : 89.9%"
